2026-04-28T07:10:20.903427,7.1785611590344445,0.6333240197448076,0.0,0.4528590280537569,560676864.0
2026-04-28T07:10:25.965122,7.120838870604855,0.6146853928398466,0.0,0.46439901472793177,559095808.0
2026-04-28T07:12:48.991479,0.9027734137928997,0.0,0.0,0.23568649576717698,336023552.0,7.0
2026-04-28T07:12:54.322504,0.785991514662519,0.0,0.0,0.2552425282005315,519749632.0,8.0
2026-04-28T07:12:59.869648,1.0601520500611477,0.0,0.0,0.3407743393270887,522076160.0,8.0
2026-04-28T07:13:04.921088,1.330307558926242,0.0,0.0,0.3535609449670524,522731520.0,8.0
2026-04-28T07:13:10.009614,1.6284359806643294,0.0,0.0,0.37195896790506794,523108352.0,8.0
2026-04-28T07:13:15.087890,1.889103100972915,0.0,0.0,0.4007066166804916,523182080.0,8.0
2026-04-28T07:13:22.017160,2.1214285714285714,0.0,0.0,0.4114299664519927,523968512.0,8.0
2026-04-28T07:13:27.053024,2.5294408713403076,0.0,0.0,0.4368315379042766,524492800.0,8.0
2026-04-28T07:13:32.093652,2.73810300273703,0.0,0.0,0.4558845870726634,524886016.0,8.0
2026-04-28T07:13:37.137440,2.9964532411935987,0.0,0.0,0.40589432504767653,525144064.0,8.0
2026-04-28T07:13:42.513671,2.870527492129029,0.0,0.0,0.44095062557492376,525344768.0,8.0
2026-04-28T07:13:47.568711,3.1088606749857517,0.0,0.0,0.5062240589162295,525713408.0,8.0
2026-04-28T07:13:54.478614,2.916389228542122,0.0,0.0,0.4592735557972598,525746176.0,8.0
2026-04-28T07:13:59.517722,3.325659951543953,0.0,0.0,0.4745633972501548,526323712.0,8.0
2026-04-28T07:14:04.633581,3.496142261252464,0.0,0.0,0.4855576072311587,527634432.0,8.0
2026-04-28T07:14:09.669419,3.5843082950064513,0.0,0.0,0.4792605174963372,528408576.0,8.0
2026-04-28T07:14:14.702857,3.6290961186322725,0.0,0.0,0.48314127830378295,528990208.0,8.0
2026-04-28T07:14:19.860107,3.780282781914494,0.0,0.0,0.5010862499291433,529428480.0,8.0
2026-04-28T07:14:26.749158,3.9295099421191444,0.0,0.0,0.4903453952908585,529952768.0,8.0
2026-04-28T07:14:31.781360,4.031513930184369,0.0,0.0,0.4952207716806855,529313792.0,8.0
2026-04-28T07:14:36.865151,4.317098379666851,0.0,0.0,0.4159122404949915,529571840.0,8.0
2026-04-28T07:14:41.922540,4.511397213052865,0.0,0.0,0.3591009801060582,529321984.0,8.0
2026-04-28T07:14:46.989388,4.5711055772355245,0.0,0.0,0.33891510133886116,529289216.0,8.0
2026-04-28T07:14:52.049842,4.674178127267295,0.0,0.0,0.34668874434283453,529711104.0,8.0
2026-04-28T07:14:58.962023,4.646382066770147,0.0,0.0,0.3296601346103493,530149376.0,8.0
2026-04-28T07:15:03.994090,4.662016004073346,0.0,0.0,0.3213350220260428,530563072.0,8.0
2026-04-28T07:15:09.060276,4.689214115786349,0.0,0.0,0.3167618888717389,530632704.0,8.0
2026-04-28T07:15:14.134781,4.792221518483983,0.0,0.0,0.30899487568129436,530661376.0,8.0
2026-04-28T07:15:19.225490,4.856740745377477,0.0,0.0,0.3063186909462243,531255296.0,8.0
2026-04-28T07:15:24.279357,4.967555596247374,0.0,0.0,0.32825324025185854,530968576.0,8.0
2026-04-28T07:15:31.214664,4.8772287738003435,0.0,0.0,0.3143602253505231,531337216.0,8.0
2026-04-28T07:15:36.263980,4.733578675208088,0.0,0.0,0.3130389028146157,532152320.0,8.0
2026-04-28T07:15:41.320970,4.76920720636171,0.0,0.0,0.3097039177084266,532320256.0,8.0
2026-04-28T07:15:46.364230,4.853277862378813,0.0,0.0,0.29878538595542803,531742720.0,8.0
